Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739467025.648733,698,10.9.8.127,239.255.255.250,52982,3702
1739467025.649272,352,0.0.0.0,255.255.255.255,68,67
1739467025.75122,342,0.0.0.0,255.255.255.255,68,67
1739467025.75122,358,0.0.0.0,255.255.255.255,68,67
1739467025.753669,56,10.9.21.163,224.0.0.22,Unknown,Unknown
1739467025.754162,56,10.9.21.163,224.0.0.22,Unknown,Unknown
1739467025.853317,56,10.9.21.163,224.0.0.22,Unknown,Unknown
1739467025.854222,56,10.9.21.163,224.0.0.22,Unknown,Unknown
1739467025.85449,56,10.9.21.163,224.0.0.22,Unknown,Unknown
1739467025.855613,56,10.9.27.178,224.0.0.22,Unknown,Unknown
1739467026.162689,348,10.9.21.240,224.0.0.251,5353,5353
1739467026.260136,464,10.9.20.88,224.0.0.251,5353,5353
1739467026.374274,56,10.9.20.128,224.0.0.251,Unknown,Unknown
1739467026.537735,121,10.9.20.88,224.0.0.251,5353,5353
1739467027.289675,115,10.9.17.30,224.0.0.251,5353,5353
1739467027.390183,56,10.9.26.109,224.0.0.251,Unknown,Unknown
1739467028.004323,56,10.9.28.50,224.0.0.22,Unknown,Unknown
1739467028.208593,56,10.9.18.50,224.0.0.22,Unknown,Unknown
1739467028.215687,90,10.9.21.209,172.16.0.232,40686,53
1739467028.21577,90,10.9.21.209,172.16.0.232,34102,53
1739467028.219092,106,172.16.0.232,10.9.21.209,53,40686
1739467028.228571,1292,10.9.21.209,142.250.27.84,44396,443
1739467028.228604,1292,10.9.21.209,142.250.27.84,44396,443
1739467028.231956,85,10.9.21.209,172.16.0.232,47509,53
1739467028.232162,85,10.9.21.209,172.16.0.232,46790,53
1739467028.235594,101,172.16.0.232,10.9.21.209,53,47509
1739467028.241231,1292,10.9.21.209,142.251.209.36,46125,443
1739467028.241258,1292,10.9.21.209,142.251.209.36,46125,443
1739467028.27055,90,172.16.0.232,10.9.21.209,53,34102
1739467028.292721,85,172.16.0.232,10.9.21.209,53,46790
1739467028.294631,82,142.251.209.36,10.9.21.209,443,46125
1739467028.295685,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.295685,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.295685,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.295898,1292,10.9.21.209,142.251.209.36,46125,443
1739467028.297833,82,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299124,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.299302,1292,10.9.21.209,142.250.27.84,44396,443
1739467028.299363,81,10.9.21.209,142.250.27.84,44396,443
1739467028.300557,82,10.9.21.209,142.250.27.84,44396,443
1739467028.312792,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.312792,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.312792,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.312929,81,10.9.21.209,142.251.209.36,46125,443
1739467028.314306,82,10.9.21.209,142.251.209.36,46125,443
1739467028.322949,74,10.9.21.209,142.251.209.36,51026,443
1739467028.333724,74,10.9.21.209,142.250.27.84,38160,443
1739467028.349524,870,142.251.209.36,10.9.21.209,443,46125
1739467028.349877,82,10.9.21.209,142.251.209.36,46125,443
1739467028.361704,125,10.9.21.209,142.251.209.36,46125,443
1739467028.361823,114,10.9.21.209,142.251.209.36,46125,443
1739467028.362279,598,10.9.21.209,142.251.209.36,46125,443
1739467028.362317,153,10.9.21.209,142.251.209.36,46125,443
1739467028.367455,79,10.9.21.209,142.250.27.84,44396,443
1739467028.367758,870,142.250.27.84,10.9.21.209,443,44396
1739467028.369154,82,10.9.21.209,142.250.27.84,44396,443
1739467028.37609,74,142.251.209.36,10.9.21.209,443,51026
1739467028.376225,66,10.9.21.209,142.251.209.36,51026,443
1739467028.378518,1790,10.9.21.209,142.251.209.36,51026,443
1739467028.378754,125,10.9.21.209,142.250.27.84,44396,443
1739467028.378819,116,10.9.21.209,142.250.27.84,44396,443
1739467028.379116,545,10.9.21.209,142.250.27.84,44396,443
1739467028.382097,150,10.9.21.209,142.251.209.36,46125,443
1739467028.389755,126,10.9.21.209,142.251.209.36,46125,443
1739467028.402344,74,142.250.27.84,10.9.21.209,443,38160
1739467028.402377,66,10.9.21.209,142.250.27.84,38160,443
1739467028.402344,83,142.251.209.36,10.9.21.209,443,46125
1739467028.402604,1795,10.9.21.209,142.250.27.84,38160,443
1739467028.41446,56,10.9.28.50,224.0.0.22,Unknown,Unknown
1739467028.415029,984,142.251.209.36,10.9.21.209,443,46125
1739467028.415029,163,142.251.209.36,10.9.21.209,443,46125
1739467028.415261,75,10.9.21.209,142.251.209.36,46125,443
1739467028.415468,75,10.9.21.209,142.251.209.36,46125,443
1739467028.415764,69,142.251.209.36,10.9.21.209,443,46125
1739467028.415832,75,10.9.21.209,142.251.209.36,46125,443
1739467028.431201,66,142.251.209.36,10.9.21.209,443,51026
1739467028.431201,66,142.251.209.36,10.9.21.209,443,51026
1739467028.435289,70,142.251.209.36,10.9.21.209,443,46125
1739467028.435833,75,10.9.21.209,142.251.209.36,46125,443
1739467028.436248,877,142.250.27.84,10.9.21.209,443,44396
1739467028.436503,213,10.9.21.209,142.250.27.84,44396,443
1739467028.447593,2802,142.251.209.36,10.9.21.209,443,51026
1739467028.447611,66,10.9.21.209,142.251.209.36,51026,443
1739467028.447593,2679,142.251.209.36,10.9.21.209,443,51026
1739467028.447641,66,10.9.21.209,142.251.209.36,51026,443
1739467028.447853,995,142.250.27.84,10.9.21.209,443,44396
1739467028.448074,75,10.9.21.209,142.250.27.84,44396,443
1739467028.448388,163,142.250.27.84,10.9.21.209,443,44396
1739467028.448388,69,142.250.27.84,10.9.21.209,443,44396
1739467028.448452,75,10.9.21.209,142.250.27.84,44396,443
1739467028.44849,75,10.9.21.209,142.250.27.84,44396,443
1739467028.449257,140,10.9.21.209,142.251.209.36,51026,443
1739467028.454926,658,142.251.209.36,10.9.21.209,443,46125
1739467028.454926,143,142.251.209.36,10.9.21.209,443,46125
1739467028.455078,79,10.9.21.209,142.251.209.36,46125,443
1739467028.460767,1288,142.251.209.36,10.9.21.209,443,46125
1739467028.460767,1292,142.250.27.84,10.9.21.209,443,44396
1739467028.462339,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.46348,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.46348,188,142.250.27.84,10.9.21.209,443,44396
1739467028.464094,79,10.9.21.209,142.251.209.36,46125,443
1739467028.464162,79,10.9.21.209,142.250.27.84,44396,443
1739467028.465072,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.466452,502,142.251.209.36,10.9.21.209,443,46125
1739467028.466561,75,10.9.21.209,142.251.209.36,46125,443
1739467028.471922,66,142.250.27.84,10.9.21.209,443,38160
1739467028.471922,66,142.250.27.84,10.9.21.209,443,38160
1739467028.474201,2802,142.250.27.84,10.9.21.209,443,38160
1739467028.474207,66,10.9.21.209,142.250.27.84,38160,443
1739467028.474201,2719,142.250.27.84,10.9.21.209,443,38160
1739467028.474237,66,10.9.21.209,142.250.27.84,38160,443
1739467028.475262,140,10.9.21.209,142.250.27.84,38160,443
1739467028.482043,136,142.251.209.36,10.9.21.209,443,46125
1739467028.482191,79,10.9.21.209,142.251.209.36,46125,443
1739467028.483573,177,142.251.209.36,10.9.21.209,443,46125
1739467028.493177,1288,142.251.209.36,10.9.21.209,443,46125
1739467028.493177,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.493177,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.493177,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.493304,79,10.9.21.209,142.251.209.36,46125,443
1739467028.493331,75,10.9.21.209,142.251.209.36,46125,443
1739467028.493852,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.493852,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.49389,75,10.9.21.209,142.251.209.36,46125,443
1739467028.495493,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.495542,75,10.9.21.209,142.251.209.36,46125,443
1739467028.497264,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.497264,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.497325,75,10.9.21.209,142.251.209.36,46125,443
1739467028.499975,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.501127,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.501177,75,10.9.21.209,142.251.209.36,46125,443
1739467028.503237,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.503237,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.503275,75,10.9.21.209,142.251.209.36,46125,443
1739467028.505826,67,142.250.27.84,10.9.21.209,443,44396
1739467028.505826,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.505826,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.505894,75,10.9.21.209,142.251.209.36,46125,443
1739467028.50711,66,142.251.209.36,10.9.21.209,443,51026
1739467028.50711,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.50937,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.509403,73,10.9.21.209,142.251.209.36,46125,443
1739467028.512131,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.512131,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.512207,73,10.9.21.209,142.251.209.36,46125,443
1739467028.514501,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.514501,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.514545,73,10.9.21.209,142.251.209.36,46125,443
1739467028.518674,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.518674,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.518674,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.518733,73,10.9.21.209,142.251.209.36,46125,443
1739467028.522223,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.522223,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.522292,73,10.9.21.209,142.251.209.36,46125,443
1739467028.524203,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.524232,73,10.9.21.209,142.251.209.36,46125,443
1739467028.574673,72,10.9.21.209,142.251.209.36,46125,443
1739467028.582,72,10.9.21.209,142.250.27.84,44396,443
1739467028.689597,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.689598,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.689598,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.689598,366,142.251.209.36,10.9.21.209,443,46125
1739467028.689598,1034,142.250.27.84,10.9.21.209,443,38160
1739467028.689598,65,142.251.209.36,10.9.21.209,443,46125
1739467028.689598,68,142.250.27.84,10.9.21.209,443,44396
1739467028.689598,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.689657,68,142.251.209.36,10.9.21.209,443,46125
1739467028.689769,73,10.9.21.209,142.251.209.36,46125,443
1739467028.689827,73,10.9.21.209,142.251.209.36,46125,443
1739467028.689901,75,10.9.21.209,142.251.209.36,46125,443
1739467028.689921,75,10.9.21.209,142.251.209.36,46125,443
1739467028.723822,94,10.9.21.209,172.16.0.232,33890,53
1739467028.729282,1292,10.9.21.209,142.251.209.10,41954,443
1739467028.729307,1292,10.9.21.209,142.251.209.10,41954,443
1739467028.732777,66,10.9.21.209,142.250.27.84,38160,443
1739467028.73282,1292,142.251.209.36,10.9.21.209,443,46125
1739467028.73282,68,142.251.209.36,10.9.21.209,443,46125
1739467028.73282,68,142.251.209.36,10.9.21.209,443,46125
1739467028.7329,77,10.9.21.209,142.251.209.36,46125,443
1739467028.732915,77,10.9.21.209,142.251.209.36,46125,443
1739467028.748594,69,142.250.27.84,10.9.21.209,443,44396
1739467028.778562,94,172.16.0.232,10.9.21.209,53,33890
1739467028.783912,82,142.251.209.10,10.9.21.209,443,41954
1739467028.788926,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.788926,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.788926,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.789226,1292,10.9.21.209,142.251.209.10,41954,443
1739467028.800795,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.800795,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.800795,1292,142.251.209.10,10.9.21.209,443,41954
1739467028.800951,81,10.9.21.209,142.251.209.10,41954,443
1739467028.80213,82,10.9.21.209,142.251.209.10,41954,443
1739467028.810508,74,10.9.21.209,142.251.209.10,56244,443
1739467028.840285,79,10.9.21.209,142.251.209.10,41954,443
1739467028.84301,228,142.251.209.10,10.9.21.209,443,41954
