Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739466898.057341,56,10.9.27.46,224.0.0.22,Unknown,Unknown
1739466898.057551,342,10.9.22.48,255.255.255.255,68,67
1739466898.671771,56,10.9.22.222,224.0.0.22,Unknown,Unknown
1739466898.97973,342,0.0.0.0,255.255.255.255,68,67
1739466899.289996,698,10.9.29.169,239.255.255.250,61490,3702
1739466899.289997,76,10.9.13.32,224.0.0.251,50914,5353
1739466899.289997,76,10.9.13.32,224.0.0.251,50914,5353
1739466899.491643,56,10.9.22.56,224.0.0.22,Unknown,Unknown
1739466899.799309,201,10.9.22.29,224.0.0.251,5353,5353
1739466900.003808,201,10.9.22.29,224.0.0.251,5353,5353
1739466900.105311,56,10.9.21.56,224.0.0.22,Unknown,Unknown
1739466900.314358,254,10.9.22.29,224.0.0.251,5353,5353
1739466900.314358,76,10.9.13.32,224.0.0.251,50914,5353
1739466900.314358,76,10.9.13.32,224.0.0.251,50914,5353
1739466900.412858,268,10.9.22.29,224.0.0.251,5353,5353
1739466900.412858,102,10.9.13.32,224.0.0.251,50914,5353
1739466900.413436,102,10.9.13.32,224.0.0.251,50914,5353
1739466900.414508,56,10.9.21.74,224.0.0.251,Unknown,Unknown
1739466900.418117,106,10.9.21.209,172.16.0.232,48447,53
1739466900.418221,106,10.9.21.209,172.16.0.232,44354,53
1739466900.422469,266,172.16.0.232,10.9.21.209,53,48447
1739466900.474458,278,172.16.0.232,10.9.21.209,53,44354
1739466900.515465,117,10.9.23.209,224.0.0.251,5353,5353
1739466900.516169,373,10.9.22.27,224.0.0.251,5353,5353
1739466900.516842,397,10.9.22.29,224.0.0.251,5353,5353
1739466900.617674,56,10.9.23.88,224.0.0.22,Unknown,Unknown
1739466900.618602,56,10.9.21.101,224.0.0.22,Unknown,Unknown
1739466900.632577,464,10.9.20.88,224.0.0.251,5353,5353
1739466900.719687,56,10.9.26.207,224.0.0.251,Unknown,Unknown
1739466900.751309,95,10.9.21.209,172.16.0.232,51751,53
1739466900.751367,95,10.9.21.209,172.16.0.232,41734,53
1739466900.806058,221,172.16.0.232,10.9.21.209,53,41734
1739466900.806059,209,172.16.0.232,10.9.21.209,53,51751
1739466900.806408,74,10.9.21.209,34.107.221.82,57408,80
1739466900.808659,86,10.9.21.209,172.16.0.232,58751,53
1739466900.808696,86,10.9.21.209,172.16.0.232,38924,53
1739466900.812608,282,172.16.0.232,10.9.21.209,53,38924
1739466900.812795,107,10.9.21.209,172.16.0.232,47976,53
1739466900.8131,171,172.16.0.232,10.9.21.209,53,58751
1739466900.815975,203,172.16.0.232,10.9.21.209,53,47976
1739466900.816891,1294,10.9.21.209,34.117.188.166,48415,443
1739466900.822465,56,10.9.19.146,224.0.0.22,Unknown,Unknown
1739466900.851911,108,10.9.21.209,172.16.0.232,57233,53
1739466900.85196,108,10.9.21.209,172.16.0.232,52612,53
1739466900.852604,74,10.9.21.209,34.160.144.191,58022,443
1739466900.855766,266,172.16.0.232,10.9.21.209,53,52612
1739466900.855766,186,172.16.0.232,10.9.21.209,53,57233
1739466900.855914,119,10.9.21.209,172.16.0.232,60400,53
1739466900.860849,215,172.16.0.232,10.9.21.209,53,60400
1739466900.860849,74,34.107.221.82,10.9.21.209,80,57408
1739466900.860901,66,10.9.21.209,34.107.221.82,57408,80
1739466900.861343,367,10.9.21.209,34.107.221.82,57408,80
1739466900.861812,74,10.9.21.209,34.149.100.209,41922,443
1739466900.891744,1294,34.117.188.166,10.9.21.209,443,48415
1739466900.891744,1294,34.117.188.166,10.9.21.209,443,48415
1739466900.891744,1294,34.117.188.166,10.9.21.209,443,48415
1739466900.892348,84,10.9.21.209,34.117.188.166,48415,443
1739466900.906385,74,34.160.144.191,10.9.21.209,443,58022
1739466900.906458,66,10.9.21.209,34.160.144.191,58022,443
1739466900.906653,286,10.9.21.209,34.160.144.191,58022,443
1739466900.911795,74,10.9.21.209,34.117.188.166,60598,443
1739466900.914936,66,34.107.221.82,10.9.21.209,80,57408
1739466900.914936,74,34.149.100.209,10.9.21.209,443,41922
1739466900.914967,54,10.9.21.209,34.149.100.209,41922,443
1739466900.916345,364,34.107.221.82,10.9.21.209,80,57408
1739466900.916355,66,10.9.21.209,34.107.221.82,57408,80
1739466900.924811,100,10.9.19.146,224.0.0.251,5353,5353
1739466900.931338,82,10.9.21.209,172.16.0.232,56553,53
1739466900.931595,74,10.9.21.209,34.107.221.82,57420,80
1739466900.93505,146,172.16.0.232,10.9.21.209,53,56553
1739466900.935521,82,10.9.21.209,172.16.0.232,47282,53
1739466900.937067,89,10.9.21.209,172.16.0.232,60973,53
1739466900.937146,84,10.9.21.209,172.16.0.232,47258,53
1739466900.937473,131,10.9.21.209,172.16.0.232,60120,53
1739466900.939435,194,172.16.0.232,10.9.21.209,53,47282
1739466900.939515,74,10.9.21.209,34.107.152.202,43290,443
1739466900.945468,1143,34.117.188.166,10.9.21.209,443,48415
1739466900.947233,85,10.9.21.209,34.117.188.166,48415,443
1739466900.951017,86,10.9.21.209,172.16.0.232,49859,53
1739466900.95107,86,10.9.21.209,172.16.0.232,36052,53
1739466900.951115,86,10.9.21.209,172.16.0.232,45674,53
1739466900.9512,86,10.9.21.209,172.16.0.232,37489,53
1739466900.951234,86,10.9.21.209,172.16.0.232,45240,53
1739466900.951272,86,10.9.21.209,172.16.0.232,55010,53
1739466900.951332,98,10.9.21.209,172.16.0.232,56840,53
1739466900.951437,98,10.9.21.209,172.16.0.232,46450,53
1739466900.951485,92,10.9.21.209,172.16.0.232,35511,53
1739466900.95152,92,10.9.21.209,172.16.0.232,49650,53
1739466900.95156,92,10.9.21.209,172.16.0.232,53487,53
1739466900.951599,81,10.9.21.209,172.16.0.232,57322,53
1739466900.951628,81,10.9.21.209,172.16.0.232,41887,53
1739466900.951672,81,10.9.21.209,172.16.0.232,39626,53
1739466900.951714,88,10.9.21.209,172.16.0.232,57684,53
1739466900.95175,88,10.9.21.209,172.16.0.232,55567,53
1739466900.95178,88,10.9.21.209,172.16.0.232,47270,53
1739466900.951812,88,10.9.21.209,172.16.0.232,50329,53
1739466900.951849,88,10.9.21.209,172.16.0.232,41699,53
1739466900.951878,88,10.9.21.209,172.16.0.232,48294,53
1739466900.951908,88,10.9.21.209,172.16.0.232,47993,53
1739466900.95194,88,10.9.21.209,172.16.0.232,52931,53
1739466900.951971,88,10.9.21.209,172.16.0.232,37852,53
1739466900.954495,235,172.16.0.232,10.9.21.209,53,45674
1739466900.954495,235,172.16.0.232,10.9.21.209,53,36052
1739466900.955774,161,172.16.0.232,10.9.21.209,53,55010
1739466900.955774,175,172.16.0.232,10.9.21.209,53,48294
1739466900.957945,155,172.16.0.232,10.9.21.209,53,41887
1739466900.957945,136,172.16.0.232,10.9.21.209,53,57684
1739466900.957945,102,172.16.0.232,10.9.21.209,53,45240
1739466900.957945,114,172.16.0.232,10.9.21.209,53,56840
1739466900.957945,148,172.16.0.232,10.9.21.209,53,37852
1739466900.957945,97,172.16.0.232,10.9.21.209,53,57322
1739466900.957945,152,172.16.0.232,10.9.21.209,53,41699
1739466900.957945,172,172.16.0.232,10.9.21.209,53,55567
1739466900.959044,74,10.9.21.209,216.58.204.131,38326,80
1739466900.960492,66,34.160.144.191,10.9.21.209,443,58022
1739466900.962866,2802,34.160.144.191,10.9.21.209,443,58022
1739466900.962895,66,10.9.21.209,34.160.144.191,58022,443
1739466900.962866,338,34.160.144.191,10.9.21.209,443,58022
1739466900.962907,66,10.9.21.209,34.160.144.191,58022,443
1739466900.963701,159,10.9.21.209,34.160.144.191,58022,443
1739466900.96503,74,34.117.188.166,10.9.21.209,443,60598
1739466900.965056,66,10.9.21.209,34.117.188.166,60598,443
1739466900.965478,1966,10.9.21.209,34.117.188.166,60598,443
1739466900.968137,86,10.9.21.209,172.16.0.232,59712,53
1739466900.968178,86,10.9.21.209,172.16.0.232,36589,53
1739466900.97171,172,172.16.0.232,10.9.21.209,53,59712
1739466900.987048,74,34.107.221.82,10.9.21.209,80,57420
1739466900.987076,66,10.9.21.209,34.107.221.82,57420,80
1739466900.987152,384,10.9.21.209,34.107.221.82,57420,80
1739466900.99173,84,172.16.0.232,10.9.21.209,53,47258
1739466900.992662,131,172.16.0.232,10.9.21.209,53,60120
1739466900.992662,74,34.107.152.202,10.9.21.209,443,43290
1739466900.992671,54,10.9.21.209,34.107.152.202,43290,443
1739466900.993482,74,10.9.21.209,34.107.152.202,43292,443
1739466900.993553,74,10.9.21.209,34.107.152.202,43302,443
1739466901.00605,123,172.16.0.232,10.9.21.209,53,49859
1739466901.006204,94,10.9.21.209,172.16.0.232,56884,53
1739466901.006637,98,172.16.0.232,10.9.21.209,53,46450
1739466901.007066,162,172.16.0.232,10.9.21.209,53,53487
1739466901.007066,88,172.16.0.232,10.9.21.209,53,47270
1739466901.007121,127,10.9.21.209,172.16.0.232,39305,53
1739466901.00739,88,172.16.0.232,10.9.21.209,53,50329
1739466901.008254,120,172.16.0.232,10.9.21.209,53,47993
