Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739447083.157851,82,10.0.2.15,10.0.2.255,57621,57621
1739447083.233961,86,10.0.2.15,10.0.2.255,57621,57621
1739447083.291446,167,10.0.2.15,239.255.255.250,41320,1900
1739447083.301351,54,10.0.2.15,224.0.0.22,Unknown,Unknown
1739447083.32684,91,10.0.2.15,10.0.2.3,38058,53
1739447083.329618,91,10.0.2.15,10.0.2.3,51554,53
1739447083.330311,91,10.0.2.15,10.0.2.3,40158,53
1739447083.33587,87,10.0.2.15,224.0.0.251,5353,5353
1739447083.338401,176,10.0.2.3,10.0.2.15,53,51554
1739447083.338401,176,10.0.2.3,10.0.2.15,53,38058
1739447083.341166,176,10.0.2.3,10.0.2.15,53,40158
1739447083.347176,91,10.0.2.15,10.0.2.3,59356,53
1739447083.34731,91,10.0.2.15,10.0.2.3,58352,53
1739447083.354222,176,10.0.2.3,10.0.2.15,53,58352
1739447083.354223,176,10.0.2.3,10.0.2.15,53,59356
1739447083.355598,91,10.0.2.15,10.0.2.3,47927,53
1739447083.355707,91,10.0.2.15,10.0.2.3,47772,53
1739447083.362191,176,10.0.2.3,10.0.2.15,53,47772
1739447083.362191,176,10.0.2.3,10.0.2.15,53,47927
1739447083.421675,91,10.0.2.15,10.0.2.3,34668,53
1739447083.422221,91,10.0.2.15,10.0.2.3,56390,53
1739447083.422307,91,10.0.2.15,10.0.2.3,58271,53
1739447083.42336,92,10.0.2.15,10.0.2.3,48403,53
1739447083.424071,89,10.0.2.15,10.0.2.3,51256,53
1739447083.42418,89,10.0.2.15,10.0.2.3,34023,53
1739447083.424671,89,10.0.2.15,10.0.2.3,52653,53
1739447083.427487,210,10.0.2.15,239.255.255.250,40342,1900
1739447083.428328,238,10.0.2.2,10.0.2.15,Unknown,Unknown
1739447083.4362,149,10.0.2.3,10.0.2.15,53,34023
1739447083.436201,161,10.0.2.3,10.0.2.15,53,51256
1739447083.436201,176,10.0.2.3,10.0.2.15,53,58271
1739447083.436201,176,10.0.2.3,10.0.2.15,53,56390
1739447083.436201,176,10.0.2.3,10.0.2.15,53,34668
1739447083.441005,74,10.0.2.15,35.186.224.24,34778,443
1739447083.443837,91,10.0.2.15,10.0.2.3,55662,53
1739447083.444014,91,10.0.2.15,10.0.2.3,34167,53
1739447083.444935,74,10.0.2.15,35.186.224.24,34784,443
1739447083.449349,176,10.0.2.3,10.0.2.15,53,55662
1739447083.452029,176,10.0.2.3,10.0.2.15,53,34167
1739447083.453655,91,10.0.2.15,10.0.2.3,58700,53
1739447083.453701,74,10.0.2.15,35.186.224.24,34798,443
1739447083.453774,91,10.0.2.15,10.0.2.3,54204,53
1739447083.45833,176,10.0.2.3,10.0.2.15,53,54204
1739447083.45833,176,10.0.2.3,10.0.2.15,53,58700
1739447083.489193,133,10.0.2.3,10.0.2.15,53,52653
1739447083.489193,92,10.0.2.3,10.0.2.15,53,48403
1739447083.489542,101,10.0.2.15,10.0.2.3,59840,53
1739447083.49932,60,35.186.224.24,10.0.2.15,443,34778
1739447083.499367,54,10.0.2.15,35.186.224.24,34778,443
1739447083.500066,1817,10.0.2.15,35.186.224.24,34778,443
1739447083.501224,60,35.186.224.24,10.0.2.15,443,34778
1739447083.501224,60,35.186.224.24,10.0.2.15,443,34778
1739447083.501489,60,35.186.224.24,10.0.2.15,443,34784
1739447083.501506,54,10.0.2.15,35.186.224.24,34784,443
1739447083.513078,1881,10.0.2.15,35.186.224.24,34784,443
1739447083.514681,60,35.186.224.24,10.0.2.15,443,34784
1739447083.514681,60,35.186.224.24,10.0.2.15,443,34784
1739447083.516004,60,35.186.224.24,10.0.2.15,443,34798
1739447083.516027,54,10.0.2.15,35.186.224.24,34798,443
1739447083.516325,1782,10.0.2.15,35.186.224.24,34798,443
1739447083.517209,60,35.186.224.24,10.0.2.15,443,34798
1739447083.517209,60,35.186.224.24,10.0.2.15,443,34798
1739447083.55088,101,10.0.2.3,10.0.2.15,53,59840
1739447083.558783,2934,35.186.224.24,10.0.2.15,443,34778
1739447083.55881,54,10.0.2.15,35.186.224.24,34778,443
1739447083.559363,631,35.186.224.24,10.0.2.15,443,34778
1739447083.55938,54,10.0.2.15,35.186.224.24,34778,443
1739447083.583707,2934,35.186.224.24,10.0.2.15,443,34798
1739447083.583708,2934,35.186.224.24,10.0.2.15,443,34784
1739447083.583733,54,10.0.2.15,35.186.224.24,34798,443
1739447083.583763,54,10.0.2.15,35.186.224.24,34784,443
1739447083.584101,118,10.0.2.15,35.186.224.24,34778,443
1739447083.584516,631,35.186.224.24,10.0.2.15,443,34798
1739447083.584516,631,35.186.224.24,10.0.2.15,443,34784
1739447083.584516,60,35.186.224.24,10.0.2.15,443,34778
1739447083.584524,54,10.0.2.15,35.186.224.24,34798,443
1739447083.584548,54,10.0.2.15,35.186.224.24,34784,443
1739447083.590262,118,10.0.2.15,35.186.224.24,34784,443
1739447083.592565,60,35.186.224.24,10.0.2.15,443,34784
1739447083.613801,118,10.0.2.15,35.186.224.24,34798,443
1739447083.614089,54,10.0.2.15,35.186.224.24,34784,443
1739447083.614277,146,10.0.2.15,35.186.224.24,34778,443
1739447083.614832,60,35.186.224.24,10.0.2.15,443,34798
1739447083.614832,60,35.186.224.24,10.0.2.15,443,34784
1739447083.614832,60,35.186.224.24,10.0.2.15,443,34778
1739447083.62516,253,10.0.2.15,35.186.224.24,34778,443
1739447083.625386,465,10.0.2.15,35.186.224.24,34778,443
1739447083.625538,146,10.0.2.15,35.186.224.24,34798,443
1739447083.625861,644,10.0.2.15,35.186.224.24,34798,443
1739447083.626046,377,10.0.2.15,35.186.224.24,34798,443
1739447083.627933,60,35.186.224.24,10.0.2.15,443,34778
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34778
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628187,60,35.186.224.24,10.0.2.15,443,34798
1739447083.628721,90,10.0.2.15,10.0.2.3,42262,53
1739447083.630685,90,10.0.2.15,10.0.2.3,49844,53
1739447083.630921,90,10.0.2.15,10.0.2.3,40711,53
1739447083.638293,106,10.0.2.3,10.0.2.15,53,49844
1739447083.676635,672,35.186.224.24,10.0.2.15,443,34798
1739447083.676636,672,35.186.224.24,10.0.2.15,443,34784
1739447083.676636,703,35.186.224.24,10.0.2.15,443,34778
1739447083.676669,54,10.0.2.15,35.186.224.24,34784,443
1739447083.67691,85,10.0.2.15,35.186.224.24,34798,443
1739447083.677086,85,10.0.2.15,35.186.224.24,34778,443
1739447083.681673,60,35.186.224.24,10.0.2.15,443,34798
1739447083.681673,60,35.186.224.24,10.0.2.15,443,34778
1739447083.688823,85,35.186.224.24,10.0.2.15,443,34798
1739447083.689386,90,10.0.2.3,10.0.2.15,53,40711
