Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739447364.194781,100,10.0.2.15,10.0.2.3,35252,53
1739447364.211505,74,10.0.2.15,142.250.180.131,49408,443
1739447364.252237,74,10.0.2.15,142.250.180.131,49424,443
1739447364.302189,60,142.250.180.131,10.0.2.15,443,49408
1739447364.302189,100,10.0.2.3,10.0.2.15,53,35252
1739447364.302213,54,10.0.2.15,142.250.180.131,49408,443
1739447364.31736,60,142.250.180.131,10.0.2.15,443,49424
1739447364.317395,54,10.0.2.15,142.250.180.131,49424,443
1739447364.318798,1857,10.0.2.15,142.250.180.131,49424,443
1739447364.320243,60,142.250.180.131,10.0.2.15,443,49424
1739447364.320243,60,142.250.180.131,10.0.2.15,443,49424
1739447364.37318,90,10.0.2.15,10.0.2.3,39560,53
1739447364.373326,90,10.0.2.15,10.0.2.3,41474,53
1739447364.386113,85,10.0.2.15,10.0.2.3,58986,53
1739447364.386308,85,10.0.2.15,10.0.2.3,46969,53
1739447364.387,106,10.0.2.3,10.0.2.15,53,39560
1739447364.395328,1292,10.0.2.15,173.194.76.84,60663,443
1739447364.395537,1292,10.0.2.15,173.194.76.84,60663,443
1739447364.405677,2934,142.250.180.131,10.0.2.15,443,49424
1739447364.405718,54,10.0.2.15,142.250.180.131,49424,443
1739447364.409344,2931,142.250.180.131,10.0.2.15,443,49424
1739447364.409387,54,10.0.2.15,142.250.180.131,49424,443
1739447364.442724,90,10.0.2.3,10.0.2.15,53,41474
1739447364.443633,128,10.0.2.15,142.250.180.131,49424,443
1739447364.443993,146,10.0.2.15,142.250.180.131,49424,443
1739447364.444291,395,10.0.2.15,142.250.180.131,49424,443
1739447364.444614,60,142.250.180.131,10.0.2.15,443,49424
1739447364.444614,60,142.250.180.131,10.0.2.15,443,49424
1739447364.444615,60,142.250.180.131,10.0.2.15,443,49424
1739447364.450278,85,10.0.2.3,10.0.2.15,53,46969
1739447364.475949,82,173.194.76.84,10.0.2.15,443,60663
1739447364.478296,113,10.0.2.3,10.0.2.15,53,58986
1739447364.479603,1292,10.0.2.15,142.251.209.36,47900,443
1739447364.47984,1292,10.0.2.15,142.251.209.36,47900,443
1739447364.487126,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.487711,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.488359,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.489017,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.48967,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.490332,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.496997,1292,10.0.2.15,173.194.76.84,60663,443
1739447364.49713,81,10.0.2.15,173.194.76.84,60663,443
1739447364.499421,82,10.0.2.15,173.194.76.84,60663,443
1739447364.521318,1073,142.250.180.131,10.0.2.15,443,49424
1739447364.521808,85,10.0.2.15,142.250.180.131,49424,443
1739447364.525747,60,142.250.180.131,10.0.2.15,443,49424
1739447364.526221,74,10.0.2.15,173.194.76.84,59776,443
1739447364.547162,557,142.250.180.131,10.0.2.15,443,49424
1739447364.557097,82,142.251.209.36,10.0.2.15,443,47900
1739447364.557098,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.557802,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.557802,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.5615,93,10.0.2.15,142.250.180.131,49424,443
1739447364.562037,1292,10.0.2.15,142.251.209.36,47900,443
1739447364.562117,79,10.0.2.15,173.194.76.84,60663,443
1739447364.565579,60,142.250.180.131,10.0.2.15,443,49424
1739447364.572229,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.572229,866,173.194.76.84,10.0.2.15,443,60663
1739447364.572229,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.57223,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.573418,81,10.0.2.15,142.251.209.36,47900,443
1739447364.582858,82,10.0.2.15,142.251.209.36,47900,443
1739447364.583769,82,10.0.2.15,173.194.76.84,60663,443
1739447364.602235,60,173.194.76.84,10.0.2.15,443,59776
1739447364.602264,54,10.0.2.15,173.194.76.84,59776,443
1739447364.604179,74,10.0.2.15,142.251.209.36,51470,443
1739447364.604237,74,10.0.2.15,173.194.76.84,59788,443
1739447364.604625,54,10.0.2.15,142.250.180.131,49424,443
1739447364.605087,60,142.250.180.131,10.0.2.15,443,49424
1739447364.611436,125,10.0.2.15,173.194.76.84,60663,443
1739447364.611699,114,10.0.2.15,173.194.76.84,60663,443
1739447364.611909,74,10.0.2.15,173.194.76.84,60663,443
1739447364.612117,697,10.0.2.15,173.194.76.84,60663,443
1739447364.623544,896,142.251.209.36,10.0.2.15,443,47900
1739447364.63017,82,10.0.2.15,142.251.209.36,47900,443
1739447364.63698,873,173.194.76.84,10.0.2.15,443,60663
1739447364.63788,211,10.0.2.15,173.194.76.84,60663,443
1739447364.645454,125,10.0.2.15,142.251.209.36,47900,443
1739447364.645769,114,10.0.2.15,142.251.209.36,47900,443
1739447364.646539,792,10.0.2.15,142.251.209.36,47900,443
1739447364.662745,60,142.251.209.36,10.0.2.15,443,51470
1739447364.662745,60,142.250.180.131,10.0.2.15,443,49424
1739447364.662793,54,10.0.2.15,142.251.209.36,51470,443
1739447364.662869,54,10.0.2.15,142.250.180.131,49424,443
1739447364.663427,1778,10.0.2.15,142.251.209.36,51470,443
1739447364.663821,60,142.251.209.36,10.0.2.15,443,51470
1739447364.663822,60,142.251.209.36,10.0.2.15,443,51470
1739447364.67771,60,173.194.76.84,10.0.2.15,443,59788
1739447364.677743,54,10.0.2.15,173.194.76.84,59788,443
1739447364.680047,1815,10.0.2.15,173.194.76.84,59788,443
1739447364.681676,60,173.194.76.84,10.0.2.15,443,59788
1739447364.681676,60,173.194.76.84,10.0.2.15,443,59788
1739447364.683355,995,173.194.76.84,10.0.2.15,443,60663
1739447364.683776,75,10.0.2.15,173.194.76.84,60663,443
1739447364.683922,163,173.194.76.84,10.0.2.15,443,60663
1739447364.684329,69,173.194.76.84,10.0.2.15,443,60663
1739447364.684401,75,10.0.2.15,173.194.76.84,60663,443
1739447364.68468,75,10.0.2.15,173.194.76.84,60663,443
1739447364.692616,1292,173.194.76.84,10.0.2.15,443,60663
1739447364.695789,331,173.194.76.84,10.0.2.15,443,60663
1739447364.696275,79,10.0.2.15,173.194.76.84,60663,443
1739447364.701059,1043,142.251.209.36,10.0.2.15,443,47900
1739447364.701287,163,142.251.209.36,10.0.2.15,443,47900
1739447364.702573,74,10.0.2.15,142.251.209.36,47900,443
1739447364.709063,69,142.251.209.36,10.0.2.15,443,47900
1739447364.709063,67,173.194.76.84,10.0.2.15,443,60663
1739447364.737004,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.737027,54,10.0.2.15,142.251.209.36,51470,443
1739447364.738636,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.738652,54,10.0.2.15,142.251.209.36,51470,443
1739447364.739961,1494,142.251.209.36,10.0.2.15,443,51470
1739447364.739971,54,10.0.2.15,142.251.209.36,51470,443
1739447364.739997,74,10.0.2.15,142.251.209.36,47900,443
1739447364.740867,1113,142.251.209.36,10.0.2.15,443,51470
1739447364.740878,54,10.0.2.15,142.251.209.36,51470,443
1739447364.742396,1288,142.251.209.36,10.0.2.15,443,47900
1739447364.742396,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.746382,1292,142.251.209.36,10.0.2.15,443,47900
1739447364.746383,535,142.251.209.36,10.0.2.15,443,47900
1739447364.750749,77,10.0.2.15,142.251.209.36,47900,443
1739447364.755069,152,10.0.2.15,142.251.209.36,47900,443
1739447364.759109,2934,173.194.76.84,10.0.2.15,443,59788
1739447364.759132,54,10.0.2.15,173.194.76.84,59788,443
1739447364.759831,2561,173.194.76.84,10.0.2.15,443,59788
1739447364.759843,54,10.0.2.15,173.194.76.84,59788,443
1739447364.763594,128,10.0.2.15,142.251.209.36,51470,443
1739447364.764559,60,142.251.209.36,10.0.2.15,443,51470
1739447364.777183,73,10.0.2.15,142.251.209.36,47900,443
1739447364.785475,128,10.0.2.15,173.194.76.84,59788,443
1739447364.786665,60,173.194.76.84,10.0.2.15,443,59788
1739447364.811607,69,142.251.209.36,10.0.2.15,443,47900
1739447364.818902,68,173.194.76.84,10.0.2.15,443,60663
1739447364.840704,74,10.0.2.15,142.251.209.36,47900,443
1739447364.848642,284,142.251.209.36,10.0.2.15,443,47900
1739447364.848886,93,142.251.209.36,10.0.2.15,443,47900
1739447364.84911,77,10.0.2.15,142.251.209.36,47900,443
1739447364.854869,150,10.0.2.15,142.251.209.36,47900,443
1739447364.860187,1022,173.194.76.84,10.0.2.15,443,59788
1739447364.901524,54,10.0.2.15,173.194.76.84,59788,443
