Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739448510.678974,90,10.0.2.15,10.0.2.3,52212,53
1739448510.69658,74,10.0.2.15,216.58.204.238,59962,443
1739448510.755479,86,10.0.2.15,10.0.2.3,47257,53
1739448510.759768,86,10.0.2.15,10.0.2.3,34820,53
1739448510.760026,90,10.0.2.15,10.0.2.3,50332,53
1739448510.760101,90,10.0.2.15,10.0.2.3,60770,53
1739448510.767948,106,10.0.2.3,10.0.2.15,53,50332
1739448510.767948,102,10.0.2.3,10.0.2.15,53,47257
1739448510.767948,90,10.0.2.3,10.0.2.15,53,52212
1739448510.768998,60,216.58.204.238,10.0.2.15,443,59962
1739448510.769049,54,10.0.2.15,216.58.204.238,59962,443
1739448510.770576,1847,10.0.2.15,216.58.204.238,59962,443
1739448510.772104,60,216.58.204.238,10.0.2.15,443,59962
1739448510.772104,60,216.58.204.238,10.0.2.15,443,59962
1739448510.78168,74,10.0.2.15,173.194.76.84,39584,443
1739448510.827212,90,10.0.2.3,10.0.2.15,53,60770
1739448510.827212,114,10.0.2.3,10.0.2.15,53,34820
1739448510.84703,2934,216.58.204.238,10.0.2.15,443,59962
1739448510.84712,54,10.0.2.15,216.58.204.238,59962,443
1739448510.848291,4374,216.58.204.238,10.0.2.15,443,59962
1739448510.848532,54,10.0.2.15,216.58.204.238,59962,443
1739448510.849133,693,216.58.204.238,10.0.2.15,443,59962
1739448510.8492,54,10.0.2.15,216.58.204.238,59962,443
1739448510.856909,60,173.194.76.84,10.0.2.15,443,39584
1739448510.85697,54,10.0.2.15,173.194.76.84,39584,443
1739448510.859643,1783,10.0.2.15,173.194.76.84,39584,443
1739448510.860821,60,173.194.76.84,10.0.2.15,443,39584
1739448510.860821,60,173.194.76.84,10.0.2.15,443,39584
1739448510.864122,74,10.0.2.15,170.114.52.4,57448,443
1739448510.868353,128,10.0.2.15,216.58.204.238,59962,443
1739448510.868738,146,10.0.2.15,216.58.204.238,59962,443
1739448510.868976,330,10.0.2.15,216.58.204.238,59962,443
1739448510.869119,60,216.58.204.238,10.0.2.15,443,59962
1739448510.869119,60,216.58.204.238,10.0.2.15,443,59962
1739448510.869119,60,216.58.204.238,10.0.2.15,443,59962
1739448510.962941,60,170.114.52.4,10.0.2.15,443,57448
1739448510.962941,1053,216.58.204.238,10.0.2.15,443,59962
1739448510.962983,54,10.0.2.15,170.114.52.4,57448,443
1739448510.963884,54,10.0.2.15,216.58.204.238,59962,443
1739448510.965105,571,10.0.2.15,170.114.52.4,57448,443
1739448510.966181,60,170.114.52.4,10.0.2.15,443,57448
1739448510.966365,85,10.0.2.15,216.58.204.238,59962,443
1739448510.966859,60,216.58.204.238,10.0.2.15,443,59962
1739448510.975513,1136,216.58.204.238,10.0.2.15,443,59962
